course_type,playlist,file_name,path
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887-Neural Networks Inspiration from the Human Brain 1,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887-Neural Networks Inspiration from the Human Brain 2,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887-Neural Networks Inspiration from the Human Brain 3,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431888-Introduction to Perceptron 1,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431888-Introduction to Perceptron 2,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889-Binary Classification using Perceptron 1,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889-Binary Classification using Perceptron 2,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889-Binary Classification using Perceptron 3,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431890-Perceptrons Training,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431891-Multiclass Classification using Perceptrons,C:\Users\Ashwini\Downloads\PGDM\Video\Course 5(AI-2)\M-1(Introduction to Neural Networks-DL)\S-1(Structure of Neural Networks)
