course_type,playlist,file_name,id,title,status,playlist_id,playlist_title,video_count
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887 Neural Networks Inspiration from the Human Brain 1,KQtLkuTfjew,431887 Neural Networks Inspiration from the Human Brain 1,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887 Neural Networks Inspiration from the Human Brain 2,ZgubvcO15tQ,431887 Neural Networks Inspiration from the Human Brain 2,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431887 Neural Networks Inspiration from the Human Brain 3,3t2TJ52hpNE,431887 Neural Networks Inspiration from the Human Brain 3,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431888 Introduction to Perceptron 1,zKb9hBxfwaQ,431888 Introduction to Perceptron 1,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431888 Introduction to Perceptron 2,qsz5WpyV8us,431888 Introduction to Perceptron 2,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889 Binary Classification using Perceptron 1,VuFJvO8dJPs,431889 Binary Classification using Perceptron 1,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889 Binary Classification using Perceptron 2,QI2Ju0pvNdo,431889 Binary Classification using Perceptron 2,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431889 Binary Classification using Perceptron 3,hjC06E4BN_c,431889 Binary Classification using Perceptron 3,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431890 Perceptrons Training,Wlb2xeDXeA8,431890 Perceptrons Training,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
5,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),431891 Multiclass Classification using Perceptrons,7WLW_qdvTN0,431891 Multiclass Classification using Perceptrons,unlisted,PLMCuzyPpc7o61XSDE8CqQ3o5JJbLhD_x-,ML & AI |Course 5(AI-2)|M-1(Introduction to Neural Networks-DL)|S-1(Structure of Neural Networks),22
