id,title
7Cn6qrFj5qQ,328595 Choosing between Trees and Random Forests II
ZXYSg0O4tK4,328594 Choosing between Trees and Random Forests I 2
nw79PN8-j08,328594 Choosing between Trees and Random Forests I 1
6YSiMc_SLPk,328593 CART and CHAID Trees
VUQnfHIDQ7o,328592 End to End Modelling  I
Jsn8HmqBqlQ,328591 Pros and Cons of Different Machine Learning Models 2
m6fc08KDwkk,328591 Pros and Cons of Different Machine Learning Models 1
sDFyjZ5sNz4,328590 Comparing Different Machine Learning Models  II
EJBGY8O--Uc,328589 Comparing Different Machine Learning Models I 2
s_i5dXULEeM,328589 Comparing Different Machine Learning Models I 1
CzueCw4NGOc,328587 Understanding the Business Problem 2
omwtNz4AX08,328587 Understanding the Business Problem 1
E51inoAQtPs,328584 Summary
JB_O5Zab4IY,328582 Random Forests Lab 4
FW6CcpeJF-A,328582 Random Forests Lab 3
_2MyYJZnO0E,328582 Random Forests Lab 2
xT1TC_ZkHMQ,328582 Random Forests Lab 1
PCcLXnCOxGk,328579 Creating a Random Forest 2
HhKvCZZVSzs,328579 Creating a Random Forest 1
PzEf9_uf9bE,328577 Ensembles 2
sdV0L-69sS4,328577 Ensembles 1
yk7uJYvL8Ec,328571 Choosing Tree Hyperparameters in Python 4
HULZRYZyx2w,328571 Choosing Tree Hyperparameters in Python 3
AuR8tStl0b4,328571 Choosing Tree Hyperparameters in Python 2
_4-18LodYRA,328571 Choosing Tree Hyperparameters in Python 1
ZE-Uk5EBQAQ,328570 Building Decision Trees in Python 4
YoqEdOE2SOI,328570 Building Decision Trees in Python 3
zAFT6UT8M4o,328570 Building Decision Trees in Python 2
82meQotR8G4,328570 Building Decision Trees in Python 1
vZpn9pNgXaE,328569 Tree Pruning 2
VlHfFWzZEI8,328569 Tree Pruning 1
OnuNqfzfLjc,328568 Tree Truncation 2
iZbswxl-hkg,328567 Advantages and Disadvantages 1
mFfw__hTUbE,328564 Splitting by Rsquared
0O4U5Jlxjts,328562 Entropy and Information Gain 2
7InO5ode0yU,328562 Entropy and Information Gain 1
McxjXcvkXao,328561 Gini Index 2
qY2fadfWZgE,328561 Gini Index 1
G-kxEpM2X50,328560 Concept of Homogeneity 3
rFqMX9SESUU,328557 Regression with Decision Trees
EzL3Eyr-Kds,328568 Tree Truncation 1
mu1ZGrWjN8E,328560 Concept of Homogeneity 2
8U4K3_pN494,328555 Interpreting a Decision Tree 2
3k1I2QBDCuo,328555 Interpreting a Decision Tree 1
LXDlbnfqhIE,328560 Concept of Homogeneity 1
0f5wzmmWy2w,328554 Introduction to Decision Trees 2
jntx4gmovxI,328554 Introduction to Decision Trees 1
