,playlist,file_name,path
0,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),"111247-Control Structures and Functions(Map, Filter, and Reduce 1).ts",C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
1,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),"111247-Control Structures and Functions(Map, Filter, and Reduce 2).ts",C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
2,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),"111247-Control Structures and Functions(Map, Filter, and Reduce 3).ts",C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
3,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221235-Introduction to Jupyter Notebook I.ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
4,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221235-Introduction to Jupyter Notebook II.ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
5,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic I.ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
6,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic II(Str).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
7,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic III (Array).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
8,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic IV (List).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
9,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic V (List2).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
10,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221236-Python Basic VII (Sets).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
11,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221238-Python Basic VI (Touples).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
12,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221239-Python Basic V (Dict).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
13,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221239-Python Basic VI (Dict).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
14,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),"221243-Control Structures and Functions(If ,Elif ,Else).ts",C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
15,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221244-Control Structures and Functions(Loops 2).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
16,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221244-Control Structures and Functions(Loops).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
17,Course 0(Pre-program Preparatory Content)|M-2(Data Structures in Python),221245-Control Structures and Functions(Comprehensions 2).ts,C:\Users\Ashwini\Downloads\PGDM\Video\Course 0(Pre-program Preparatory Content)\M-2(Data Structures in Python)
